tick,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
1064,1000,0,800,0,0
1065,1000,0,800,0,0
1066,1000,0,800,0,0
1067,1000,0,800,0,0
1068,1000,0,800,0,0
1069,1000,0,800,0,0
1070,1000,0,800,0,0
1071,1000,0,800,0,0
1072,1000,0,800,0,0
1073,1000,0,800,0,0
1074,1000,0,800,0,0
1075,1000,0,800,0,0
1076,1000,0,800,0,0
1077,1000,0,800,0,0
1078,1000,0,800,0,0
1079,1000,0,800,0,0
1080,1000,0,800,0,0
1081,1000,0,800,0,0
1082,1000,0,800,0,0
1083,1000,0,800,0,0
1084,1000,0,800,0,0
1085,1000,0,800,0,0
1086,1000,0,800,0,0
1087,1000,0,800,0,0
1088,1000,0,800,0,0
1089,1000,0,800,0,0
1090,1000,0,800,0,0
1091,1000,0,800,0,0
1092,1000,0,800,0,0
1093,1000,0,800,0,0
1094,1000,0,800,0,0
1095,1000,0,800,0,0
1096,1000,0,800,0,0
1097,1000,0,800,0,0
1098,1000,0,800,0,0
1099,1000,0,800,0,0
1100,1000,0,800,0,0
1101,1000,0,800,0,0
1102,1000,0,800,0,0
1103,1000,0,800,0,0
1104,1000,0,800,0,0
1105,1000,0,800,0,0
1106,1000,0,800,0,0
1107,1000,0,800,0,0
1108,1000,0,800,0,0
1109,1000,0,800,0,0
1110,1000,0,800,0,0
1111,1000,0,800,0,0
1112,1000,0,800,0,0
1113,1000,0,800,0,0
1114,1000,0,800,0,0
1115,1000,0,800,0,0
1116,1000,0,800,0,0
1117,1000,0,800,0,0
1118,1000,0,800,0,0
1119,1000,0,800,0,0
1120,1000,0,800,0,0
1121,1000,0,800,0,0
1122,1000,0,800,0,0
1123,1000,0,800,0,0
1124,1000,0,800,0,0
1125,1000,0,800,0,0
1126,1000,0,800,0,0
1127,1000,0,800,0,0
1128,1000,0,800,0,0
1129,1000,0,800,0,0
1130,1000,0,800,0,0
1131,1000,0,800,0,0
1132,1000,0,800,0,0
1133,1000,0,800,0,0
1134,1000,0,800,0,0
1135,1000,0,800,0,0
1136,1000,0,800,0,0
1137,1000,0,800,0,0
1138,1000,0,800,0,0
1139,1000,0,800,0,0
1140,1000,0,800,0,0
1141,1000,0,800,0,0
1142,1000,0,800,0,0
1143,1000,0,800,0,0
1144,1000,0,800,0,0
1145,1000,0,800,0,0
1146,1000,0,800,0,0
1147,1000,0,800,0,0
1148,1000,0,800,0,0
1149,1000,0,800,0,0
1150,1000,0,800,0,0
1151,1000,0,800,0,0
1152,1000,0,800,0,0
1153,1000,0,800,0,0
1154,1000,0,800,0,0
1155,1000,0,800,0,0
1156,1000,0,800,0,0
1157,1000,0,800,0,0
1158,1000,0,800,0,0
1159,1000,0,800,0,0
1160,1000,0,800,0,0
1161,1000,0,800,0,0
1162,1000,0,800,0,0
1163,1000,0,800,0,0
1164,1000,0,800,0,0
1165,1000,0,800,0,0
1166,1000,0,800,0,0
1167,1000,0,800,0,0
1168,1000,0,800,0,0
1169,1000,0,800,0,0
1170,1000,0,800,0,0
1171,1000,0,800,0,0
1172,1000,0,800,0,0
1173,1000,0,800,0,0
1174,1000,0,800,0,0
1175,1000,0,800,0,0
1176,1000,0,800,0,0
1177,1000,0,800,0,0
1178,1000,0,800,0,0
1179,1000,0,800,0,0
1180,1000,0,800,0,0
1181,1000,0,800,0,0
1182,1000,0,800,0,0
1183,1000,0,800,0,0
1184,1000,0,800,0,0
1185,1000,0,800,0,0
1186,1000,0,800,0,0
1187,1000,0,800,0,0
1188,1000,0,800,0,0
1189,1000,0,800,0,0
1190,1000,0,800,0,0
1191,1000,0,800,0,0
1192,1000,0,800,0,0
1193,1000,0,800,0,0
1194,1000,0,800,0,0
1195,1000,0,800,0,0
1196,1000,0,800,0,0
1197,1000,0,800,0,0
1198,1000,0,800,0,0
1199,1000,0,800,0,0
1200,1000,0,800,0,0
1201,1000,0,800,0,0
1202,1000,0,800,0,0
1203,1000,0,800,0,0
1204,1000,0,800,0,0
1205,1000,0,800,0,0
1206,1000,0,800,0,0
1207,1000,0,800,0,0
1208,1000,0,800,0,0
1209,1000,0,800,0,0
1210,1000,0,800,0,0
1211,1000,0,800,0,0
1212,1000,0,800,0,0
1213,1000,0,800,0,0
1214,1000,0,800,0,0
1215,1000,0,800,0,0
1216,1000,0,800,0,0
1217,1000,0,800,0,0
1218,1000,0,800,0,0
1219,1000,0,800,0,0
1220,1000,0,800,0,0
1221,1000,0,800,0,0
1222,1000,0,800,0,0
1223,1000,0,800,0,0
1224,1000,0,800,0,0
1225,1000,0,800,0,0
1226,1000,0,800,0,0
1227,1000,0,800,0,0
1228,1000,0,800,0,0
1229,1000,0,800,0,0
1230,1000,0,800,0,0
1231,1000,0,800,0,0
1232,1000,0,800,0,0
1233,1000,0,800,0,0
1234,1000,0,800,0,0
1235,1000,0,800,0,0
1236,1000,0,800,0,0
1237,1000,0,800,0,0
1238,1000,0,800,0,0
1239,1000,0,800,0,0
1240,1000,0,800,0,0
1241,1000,0,800,0,0
1242,1000,0,800,0,0
1243,1000,0,800,0,0
1244,1000,0,800,0,0
1245,1000,0,800,0,0
1246,1000,0,800,0,0
1247,1000,0,800,0,0
1248,1000,0,800,0,0
1249,1000,0,800,0,0
1250,1000,0,800,0,0
1251,1000,0,800,0,0
1252,1000,0,800,0,0
1253,1000,0,800,0,0
1254,1000,0,800,0,0
1255,1000,0,800,0,0
1256,1000,0,800,0,0
1257,1000,0,800,0,0
1258,1000,0,800,0,0
1259,1000,0,800,0,0
1260,1000,0,800,0,0
1261,1000,0,800,0,0
1262,1000,0,800,0,0
1263,1000,0,800,0,0
1264,1000,0,800,0,0
1265,1000,0,800,0,0
1266,1000,0,800,0,0
1267,1000,0,800,0,0
1268,1000,0,800,0,0
1269,1000,0,800,0,0
1270,1000,0,800,0,0
1271,1000,0,800,0,0
1272,1000,0,800,0,0
1273,1000,0,800,0,0
1274,1000,0,800,0,0
1275,1000,0,800,0,0
1276,1000,0,800,0,0
1277,1000,0,800,0,0
1278,1000,0,800,0,0
1279,1000,0,800,0,0
1280,1000,0,800,0,0
1281,1000,0,800,0,0
1282,1000,0,800,0,0
1283,1000,0,800,0,0
1284,1000,0,800,0,0
1285,1000,0,800,0,0
1286,1000,0,800,0,0
1287,1000,0,800,0,0
1288,1000,0,800,0,0
1289,1000,0,800,0,0
1290,1000,0,800,0,0
1291,1000,0,800,0,0
1292,1000,0,800,0,0
1293,1000,0,800,0,0
1294,1000,0,800,0,0
1295,1000,0,800,0,0
1296,1000,0,800,0,0
1297,1000,0,800,0,0
1298,1000,0,800,0,0
1299,1000,0,800,0,0
1300,1000,0,800,0,0
1301,1000,0,800,0,0
1302,1000,0,800,0,0
1303,1000,0,800,0,0
1304,1000,0,800,0,0
1305,1000,0,800,0,0
1306,1000,0,800,0,0
1307,1000,0,800,0,0
1308,1000,0,800,0,0
1309,1000,0,800,0,0
1310,1000,0,800,0,0
1311,1000,0,800,0,0
1312,1000,0,800,0,0
1313,1000,0,800,0,0
1314,1000,0,800,0,0
1315,1000,0,800,0,0
1316,1000,0,800,0,0
1317,1000,0,800,0,0
1318,1000,0,800,0,0
1319,1000,0,800,0,0
1320,1000,0,800,0,0
1321,1000,0,800,0,0
1322,1000,0,800,0,0
1323,1000,0,800,0,0
1324,1000,0,800,0,0
1325,1000,0,800,0,0
1326,1000,0,800,0,0
1327,1000,0,800,0,0
1328,1000,0,800,0,0
1329,1000,0,800,0,0
1330,1000,0,800,0,0
1331,1000,0,800,0,0
1332,1000,0,800,0,0
1333,1000,0,800,0,0
1334,1000,0,800,0,0
1335,1000,0,800,0,0
1336,1000,0,800,0,0
1337,1000,0,800,0,0
1338,1000,0,800,0,0
1339,1000,0,800,0,0
1340,1000,0,800,0,0
1341,1000,0,800,0,0
1342,1000,0,800,0,0
1343,1000,0,800,0,0
1344,1000,0,800,0,0
1345,1000,0,800,0,0
1346,1000,0,800,0,0
1347,1000,0,800,0,0
1348,1000,0,800,0,0
1349,1000,0,800,0,0
1350,1000,0,800,0,0
1351,1000,0,800,0,0
1352,1000,0,800,0,0
1353,1000,0,800,0,0
1354,1000,0,800,0,0
1355,1000,0,800,0,0
1356,1000,0,800,0,0
1357,1000,0,800,0,0
1358,1000,0,800,0,0
1359,1000,0,800,0,0
1360,1000,0,800,0,0
1361,1000,0,800,0,0
1362,1000,0,800,0,0
1363,1000,0,800,0,0
1364,1000,0,800,0,0
1365,1000,0,800,0,0
1366,1000,0,800,0,0
1367,1000,0,800,0,0
1368,1000,0,800,0,0
1369,1000,0,800,0,0
1370,1000,0,800,0,0
1371,1000,0,800,0,0
1372,1000,0,800,0,0
1373,1000,0,800,0,0
1374,1000,0,800,0,0
1375,1000,0,800,0,0
1376,1000,0,800,0,0
1377,1000,0,800,0,0
1378,1000,0,800,0,0
1379,1000,0,800,0,0
1380,1000,0,800,0,0
1381,1000,0,800,0,0
1382,1000,0,800,0,0
1383,1000,0,800,0,0
1384,1000,0,800,0,0
1385,1000,0,800,0,0
1386,1000,0,800,0,0
1387,1000,0,800,0,0
1388,1000,0,800,0,0
1389,1000,0,800,0,0
1390,1000,0,800,0,0
1391,1000,0,800,0,0
1392,1000,0,800,0,0
1393,1000,0,800,0,0
1394,1000,0,800,0,0
1395,1000,0,800,0,0
1396,1000,0,800,0,0
1397,1000,0,800,0,0
1398,1000,0,800,0,0
1399,1000,0,800,0,0
1800,1000,0,800,0,0
1401,1000,0,800,0,0
1402,1000,0,800,0,0
1403,1000,0,800,0,0
1404,1000,0,800,0,0
1405,1000,0,800,0,0
1406,1000,0,800,0,0
1407,1000,0,800,0,0
1408,1000,0,800,0,0
1409,1000,0,800,0,0
1410,1000,0,800,0,0
1411,1000,0,800,0,0
1412,1000,0,800,0,0
1413,1000,0,800,0,0
1414,1000,0,800,0,0
1415,1000,0,800,0,0
1416,1000,0,800,0,0
1417,1000,0,800,0,0
1418,1000,0,800,0,0
1419,1000,0,800,0,0
1420,1000,0,800,0,0
1421,1000,0,800,0,0
1422,1000,0,800,0,0
1423,1000,0,800,0,0
1424,1000,0,800,0,0
1425,1000,0,800,0,0
1426,1000,0,800,0,0
1427,1000,0,800,0,0
1428,1000,0,800,0,0
1429,1000,0,800,0,0
1430,1000,0,800,0,0
1431,1000,0,800,0,0
1432,1000,0,800,0,0
1433,1000,0,800,0,0
1434,1000,0,800,0,0
1435,1000,0,800,0,0
1436,1000,0,800,0,0
1437,1000,0,800,0,0
1438,1000,0,800,0,0
1439,1000,0,800,0,0
1440,1000,0,800,0,0
1441,1000,0,800,0,0
1442,1000,0,800,0,0
1443,1000,0,800,0,0
1444,1000,0,800,0,0
1445,1000,0,800,0,0
1446,1000,0,800,0,0
1447,1000,0,800,0,0
1448,1000,0,800,0,0
1449,1000,0,800,0,0
1450,1000,0,800,0,0
1451,1000,0,800,0,0
1452,1000,0,800,0,0
1453,1000,0,800,0,0
1454,1000,0,800,0,0
1455,1000,0,800,0,0
1456,1000,0,800,0,0
1457,1000,0,800,0,0
1458,1000,0,800,0,0
1459,1000,0,800,0,0
1460,1000,0,800,0,0
1461,1000,0,800,0,0
1462,1000,0,800,0,0
1463,1000,0,800,0,0
1464,1000,0,800,0,0
1465,1000,0,800,0,0
1466,1000,0,800,0,0
1467,1000,0,800,0,0
1468,1000,0,800,0,0
1469,1000,0,800,0,0
1470,1000,0,800,0,0
1471,1000,0,800,0,0
1472,1000,0,800,0,0
1473,1000,0,800,0,0
1474,1000,0,800,0,0
1475,1000,0,800,0,0
1476,1000,0,800,0,0
1477,1000,0,800,0,0
1478,1000,0,800,0,0
1479,1000,0,800,0,0
1480,1000,0,800,0,0
1481,1000,0,800,0,0
1482,1000,0,800,0,0
1483,1000,0,800,0,0
1484,1000,0,800,0,0
1485,1000,0,800,0,0
1486,1000,0,800,0,0
1487,1000,0,800,0,0
1488,1000,0,800,0,0
1489,1000,0,800,0,0
1490,1000,0,800,0,0
1491,1000,0,800,0,0
1492,1000,0,800,0,0
1493,1000,0,800,0,0
1494,1000,0,800,0,0
1495,1000,0,800,0,0
1496,1000,0,800,0,0
1497,1000,0,800,0,0
1498,1000,0,800,0,0
1499,1000,0,800,0,0
1000,1000,0,800,0,0
1501,1000,0,800,0,0
1502,1000,0,800,0,0
1503,1000,0,800,0,0
1504,1000,0,800,0,0
1505,1000,0,800,0,0
1506,1000,0,800,0,0
1507,1000,0,800,0,0
1508,1000,0,800,0,0
1509,1000,0,800,0,0
1510,1000,0,800,0,0
1511,1000,0,800,0,0
1512,1000,0,800,0,0
1513,1000,0,800,0,0
1514,1000,0,800,0,0
1515,1000,0,800,0,0
1516,1000,0,800,0,0
1517,1000,0,800,0,0
1518,1000,0,800,0,0
1519,1000,0,800,0,0
1520,1000,0,800,0,0
1521,1000,0,800,0,0
1522,1000,0,800,0,0
1523,1000,0,800,0,0
1524,1000,0,800,0,0
1525,1000,0,800,0,0
1526,1000,0,800,0,0
1527,1000,0,800,0,0
1528,1000,0,800,0,0
1529,1000,0,800,0,0
1530,1000,0,800,0,0
1531,1000,0,800,0,0
1532,1000,0,800,0,0
1533,1000,0,800,0,0
1534,1000,0,800,0,0
1535,1000,0,800,0,0
1536,1000,0,800,0,0
1537,1000,0,800,0,0
1538,1000,0,800,0,0
1539,1000,0,800,0,0
1540,1000,0,800,0,0
1541,1000,0,800,0,0
1542,1000,0,800,0,0
1543,1000,0,800,0,0
1544,1000,0,800,0,0
1545,1000,0,800,0,0
1546,1000,0,800,0,0
1547,1000,0,800,0,0
1548,1000,0,800,0,0
1549,1000,0,800,0,0
1550,1000,0,800,0,0
1551,1000,0,800,0,0
1552,1000,0,800,0,0
1553,1000,0,800,0,0
1554,1000,0,800,0,0
1555,1000,0,800,0,0
1556,1000,0,800,0,0
1557,1000,0,800,0,0
1558,1000,0,800,0,0
1559,1000,0,800,0,0
1560,1000,0,800,0,0
1561,1000,0,800,0,0
1562,1000,0,800,0,0
1563,1000,0,800,0,0
1564,1000,0,800,0,0
1565,1000,0,800,0,0
1566,1000,0,800,0,0
1567,1000,0,800,0,0
1568,1000,0,800,0,0
1569,1000,0,800,0,0
1570,1000,0,800,0,0
1571,1000,0,800,0,0
1572,1000,0,800,0,0
1573,1000,0,800,0,0
1574,1000,0,800,0,0
1575,1000,0,800,0,0
1576,1000,0,800,0,0
1577,1000,0,800,0,0
1578,1000,0,800,0,0
1579,1000,0,800,0,0
1580,1000,0,800,0,0
1581,1000,0,800,0,0
1582,1000,0,800,0,0
1583,1000,0,800,0,0
1584,1000,0,800,0,0
1585,1000,0,800,0,0
1586,1000,0,800,0,0
1587,1000,0,800,0,0
1588,1000,0,800,0,0
1589,1000,0,800,0,0
1590,1000,0,800,0,0
1591,1000,0,800,0,0
1592,1000,0,800,0,0
1593,1000,0,800,0,0
1594,1000,0,800,0,0
1595,1000,0,800,0,0
1596,1000,0,800,0,0
1597,1000,0,800,0,0
1598,1000,0,800,0,0
1599,1000,0,800,0,0
1600,1000,0,800,0,0
1601,1000,0,800,0,0
1602,1000,0,800,0,0
1603,1000,0,800,0,0
1604,1000,0,800,0,0
1605,1000,0,800,0,0
1606,1000,0,800,0,0
1607,1000,0,800,0,0
1608,1000,0,800,0,0
1609,1000,0,800,0,0
1610,1000,0,800,0,0
1611,1000,0,800,0,0
1612,1000,0,800,0,0
1613,1000,0,800,0,0
1614,1000,0,800,0,0
1615,1000,0,800,0,0
1616,1000,0,800,0,0
1617,1000,0,800,0,0
1618,1000,0,800,0,0
1619,1000,0,800,0,0
1620,1000,0,800,0,0
1621,1000,0,800,0,0
1622,1000,0,800,0,0
1623,1000,0,800,0,0
1624,1000,0,800,0,0
1625,1000,0,800,0,0
1626,1000,0,800,0,0
1627,1000,0,800,0,0
1628,1000,0,800,0,0
1629,1000,0,800,0,0
1630,1000,0,800,0,0
1631,1000,0,800,0,0
1632,1000,0,800,0,0
1633,1000,0,800,0,0
1634,1000,0,800,0,0
1635,1000,0,800,0,0
1636,1000,0,800,0,0
1637,1000,0,800,0,0
1638,1000,0,800,0,0
1639,1000,0,800,0,0
1640,1000,0,800,0,0
1641,1000,0,800,0,0
1642,1000,0,800,0,0
1643,1000,0,800,0,0
1644,1000,0,800,0,0
1645,1000,0,800,0,0
1646,1000,0,800,0,0
1647,1000,0,800,0,0
1648,1000,0,800,0,0
1649,1000,0,800,0,0
1650,1000,0,800,0,0
1651,1000,0,800,0,0
1652,1000,0,800,0,0
1653,1000,0,800,0,0
1654,1000,0,800,0,0
1655,1000,0,800,0,0
1656,1000,0,800,0,0
1657,1000,0,800,0,0
1658,1000,0,800,0,0
1659,1000,0,800,0,0
1660,1000,0,800,0,0
1661,1000,0,800,0,0
1662,1000,0,800,0,0
1663,1000,0,800,0,0
1664,1000,0,800,0,0
1665,1000,0,800,0,0
1666,1000,0,800,0,0
1667,1000,0,800,0,0
1668,1000,0,800,0,0
1669,1000,0,800,0,0
1670,1000,0,800,0,0
1671,1000,0,800,0,0
1672,1000,0,800,0,0
1673,1000,0,800,0,0
1674,1000,0,800,0,0
1675,1000,0,800,0,0
1676,1000,0,800,0,0
1677,1000,0,800,0,0
1678,1000,0,800,0,0
1679,1000,0,800,0,0
1680,1000,0,800,0,0
1681,1000,0,800,0,0
1682,1000,0,800,0,0
1683,1000,0,800,0,0
1684,1000,0,800,0,0
1685,1000,0,800,0,0
1686,1000,0,800,0,0
1687,1000,0,800,0,0
1688,1000,0,800,0,0
1689,1000,0,800,0,0
1690,1000,0,800,0,0
1691,1000,0,800,0,0
1692,1000,0,800,0,0
1693,1000,0,800,0,0
1694,1000,0,800,0,0
1695,1000,0,800,0,0
1696,1000,0,800,0,0
1697,1000,0,800,0,0
1698,1000,0,800,0,0
1699,1000,0,800,0,0
1700,1000,0,800,0,0
1701,1000,0,800,0,0
1702,1000,0,800,0,0
1703,1000,0,800,0,0
1704,1000,0,800,0,0
1705,1000,0,800,0,0
1706,1000,0,800,0,0
1707,1000,0,800,0,0
1708,1000,0,800,0,0
1709,1000,0,800,0,0
1710,1000,0,800,0,0
1711,1000,0,800,0,0
1712,1000,0,800,0,0
1713,1000,0,800,0,0
1714,1000,0,800,0,0
1715,1000,0,800,0,0
1716,1000,0,800,0,0
1717,1000,0,800,0,0
1718,1000,0,800,0,0
1719,1000,0,800,0,0
1720,1000,0,800,0,0
1721,1000,0,800,0,0
1722,1000,0,800,0,0
1723,1000,0,800,0,0
1724,1000,0,800,0,0
1725,1000,0,800,0,0
1726,1000,0,800,0,0
1727,1000,0,800,0,0
1728,1000,0,800,0,0
1729,1000,0,800,0,0
1730,1000,0,800,0,0
1731,1000,0,800,0,0
1732,1000,0,800,0,0
1733,1000,0,800,0,0
1734,1000,0,800,0,0
1735,1000,0,800,0,0
1736,1000,0,800,0,0
1737,1000,0,800,0,0
1738,1000,0,800,0,0
1739,1000,0,800,0,0
1740,1000,0,800,0,0
1741,1000,0,800,0,0
1742,1000,0,800,0,0
1743,1000,0,800,0,0
1744,1000,0,800,0,0
1745,1000,0,800,0,0
1746,1000,0,800,0,0
1747,1000,0,800,0,0
1748,1000,0,800,0,0
1749,1000,0,800,0,0
1750,1000,0,800,0,0
1751,1000,0,800,0,0
1752,1000,0,800,0,0
1753,1000,0,800,0,0
1754,1000,0,800,0,0
1755,1000,0,800,0,0
1756,1000,0,800,0,0
1757,1000,0,800,0,0
1758,1000,0,800,0,0
1759,1000,0,800,0,0
1760,1000,0,800,0,0
1761,1000,0,800,0,0
1762,1000,0,800,0,0
1763,1000,0,800,0,0
1764,1000,0,800,0,0
1765,1000,0,800,0,0
1766,1000,0,800,0,0
1767,1000,0,800,0,0
1768,1000,0,800,0,0
1769,1000,0,800,0,0
1770,1000,0,800,0,0
1771,1000,0,800,0,0
1772,1000,0,800,0,0
1773,1000,0,800,0,0
1774,1000,0,800,0,0
1775,1000,0,800,0,0
1776,1000,0,800,0,0
1777,1000,0,800,0,0
1778,1000,0,800,0,0
1779,1000,0,800,0,0
1780,1000,0,800,0,0
1781,1000,0,800,0,0
1782,1000,0,800,0,0
1783,1000,0,800,0,0
1784,1000,0,800,0,0
1785,1000,0,800,0,0
1786,1000,0,800,0,0
1787,1000,0,800,0,0
1788,1000,0,800,0,0
1789,1000,0,800,0,0
1790,1000,0,800,0,0
1791,1000,0,800,0,0
1792,1000,0,800,0,0
1793,1000,0,800,0,0
1794,1000,0,800,0,0
1795,1000,0,800,0,0
1796,1000,0,800,0,0
1797,1000,0,800,0,0
1798,1000,0,800,0,0
1799,1000,0,800,0,0
1800,1000,0,800,0,0
1801,1000,0,800,0,0
1802,1000,0,800,0,0
1803,1000,0,800,0,0
1804,1000,0,800,0,0
1805,1000,0,800,0,0
1806,1000,0,800,0,0
1807,1000,0,800,0,0
1808,1000,0,800,0,0
1809,1000,0,800,0,0
1810,1000,0,800,0,0
1811,1000,0,800,0,0
1812,1000,0,800,0,0
1813,1000,0,800,0,0
1814,1000,0,800,0,0
1815,1000,0,800,0,0
1816,1000,0,800,0,0
1817,1000,0,800,0,0
1818,1000,0,800,0,0
1819,1000,0,800,0,0
1820,1000,0,800,0,0
1821,1000,0,800,0,0
1822,1000,0,800,0,0
1823,1000,0,800,0,0
1824,1000,0,800,0,0
1825,1000,0,800,0,0
1826,1000,0,800,0,0
1827,1000,0,800,0,0
1828,1000,0,800,0,0
1829,1000,0,800,0,0
1830,1000,0,800,0,0
1831,1000,0,800,0,0
1832,1000,0,800,0,0
1833,1000,0,800,0,0
1834,1000,0,800,0,0
1835,1000,0,800,0,0
1836,1000,0,800,0,0
1837,1000,0,800,0,0
1838,1000,0,800,0,0
1839,1000,0,800,0,0
1840,1000,0,800,0,0
1841,1000,0,800,0,0
1842,1000,0,800,0,0
1843,1000,0,800,0,0
1844,1000,0,800,0,0
1845,1000,0,800,0,0
1846,1000,0,800,0,0
1847,1000,0,800,0,0
1848,1000,0,800,0,0
1849,1000,0,800,0,0
1850,1000,0,800,0,0
1851,1000,0,800,0,0
1852,1000,0,800,0,0
1853,1000,0,800,0,0
1854,1000,0,800,0,0
1855,1000,0,800,0,0
1856,1000,0,800,0,0
1857,1000,0,800,0,0
1858,1000,0,800,0,0
1859,1000,0,800,0,0
1860,1000,0,800,0,0
1861,1000,0,800,0,0
1862,1000,0,800,0,0
1863,1000,0,800,0,0
1864,1000,0,800,0,0
1865,1000,0,800,0,0
1866,1000,0,800,0,0
1867,1000,0,800,0,0
1868,1000,0,800,0,0
1869,1000,0,800,0,0
1870,1000,0,800,0,0
1871,1000,0,800,0,0
1872,1000,0,800,0,0
1873,1000,0,800,0,0
1874,1000,0,800,0,0
1875,1000,0,800,0,0
1876,1000,0,800,0,0
1877,1000,0,800,0,0
1878,1000,0,800,0,0
1879,1000,0,800,0,0
1880,1000,0,800,0,0
1881,1000,0,800,0,0
1882,1000,0,800,0,0
1883,1000,0,800,0,0
1884,1000,0,800,0,0
1885,1000,0,800,0,0
1886,1000,0,800,0,0
1887,1000,0,800,0,0
1888,1000,0,800,0,0
1889,1000,0,800,0,0
1890,1000,0,800,0,0
1891,1000,0,800,0,0
1892,1000,0,800,0,0
1893,1000,0,800,0,0
1894,1000,0,800,0,0
1895,1000,0,800,0,0
1896,1000,0,800,0,0
1897,1000,0,800,0,0
1898,1000,0,800,0,0
1899,1000,0,800,0,0
1900,1000,0,800,0,0
1901,1000,0,800,0,0
1902,1000,0,800,0,0
1903,1000,0,800,0,0
1904,1000,0,800,0,0
1905,1000,0,800,0,0
1906,1000,0,800,0,0
1907,1000,0,800,0,0
1908,1000,0,800,0,0
1909,1000,0,800,0,0
1910,1000,0,800,0,0
1911,1000,0,800,0,0
1912,1000,0,800,0,0
1913,1000,0,800,0,0
1914,1000,0,800,0,0
1915,1000,0,800,0,0
1916,1000,0,800,0,0
1917,1000,0,800,0,0
1918,1000,0,800,0,0
1919,1000,0,800,0,0
1920,1000,0,800,0,0
1921,1000,0,800,0,0
1922,1000,0,800,0,0
1923,1000,0,800,0,0
1924,1000,0,800,0,0
1925,1000,0,800,0,0
1926,1000,0,800,0,0
1927,1000,0,800,0,0
1928,1000,0,800,0,0
1929,1000,0,800,0,0
1930,1000,0,800,0,0
1931,1000,0,800,0,0
1932,1000,0,800,0,0
1933,1000,0,800,0,0
1934,1000,0,800,0,0
1935,1000,0,800,0,0
1936,1000,0,800,0,0
1937,1000,0,800,0,0
1938,1000,0,800,0,0
1939,1000,0,800,0,0
1940,1000,0,800,0,0
1941,1000,0,800,0,0
1942,1000,0,800,0,0
1943,1000,0,800,0,0
1944,1000,0,800,0,0
1945,1000,0,800,0,0
1946,1000,0,800,0,0
1947,1000,0,800,0,0
1948,1000,0,800,0,0
1949,1000,0,800,0,0
1950,1000,0,800,0,0
1951,1000,0,800,0,0
1952,1000,0,800,0,0
1953,1000,0,800,0,0
1954,1000,0,800,0,0
1955,1000,0,800,0,0
1956,1000,0,800,0,0
1957,1000,0,800,0,0
1958,1000,0,800,0,0
1959,1000,0,800,0,0
1960,1000,0,800,0,0
1961,1000,0,800,0,0
1962,1000,0,800,0,0
1963,1000,0,800,0,0
1964,1000,0,800,0,0
1965,1000,0,800,0,0
1966,1000,0,800,0,0
1967,1000,0,800,0,0
1968,1000,0,800,0,0
1969,1000,0,800,0,0
1970,1000,0,800,0,0
1971,1000,0,800,0,0
1972,1000,0,800,0,0
1973,1000,0,800,0,0
1974,1000,0,800,0,0
1975,1000,0,800,0,0
1976,1000,0,800,0,0
1977,1000,0,800,0,0
1978,1000,0,800,0,0
1979,1000,0,800,0,0
1980,1000,0,800,0,0
1981,1000,0,800,0,0
1982,1000,0,800,0,0
1983,1000,0,800,0,0
1984,1000,0,800,0,0
1985,1000,0,800,0,0
1986,1000,0,800,0,0
1987,1000,0,800,0,0
1988,1000,0,800,0,0
1989,1000,0,800,0,0
1990,1000,0,800,0,0
1991,1000,0,800,0,0
1992,1000,0,800,0,0
1993,1000,0,800,0,0
1994,1000,0,800,0,0
1995,1000,0,800,0,0
1996,1000,0,800,0,0
1997,1000,0,800,0,0
1998,1000,0,800,0,0
1999,1000,0,800,0,0
1000,1000,0,800,0,0
2001,1000,0,800,0,0
2002,1000,0,800,0,0
2003,1000,0,800,0,0
2004,1000,0,800,0,0
2005,1000,0,800,0,0
2006,1000,0,800,0,0
2007,1000,0,800,0,0
2008,1000,0,800,0,0
2009,1000,0,800,0,0
2010,1000,0,800,0,0
2011,1000,0,800,0,0
2012,1000,0,800,0,0
2013,1000,0,800,0,0
2014,1000,0,800,0,0
2015,1000,0,800,0,0
2016,1000,0,800,0,0
2017,1000,0,800,0,0
2018,1000,0,800,0,0
2019,1000,0,800,0,0
2020,1000,0,800,0,0
2021,1000,0,800,0,0
2022,1000,0,800,0,0
2023,1000,0,800,0,0
2024,1000,0,800,0,0
2025,1000,0,800,0,0
2026,1000,0,800,0,0
2027,1000,0,800,0,0
2028,1000,0,800,0,0
2029,1000,0,800,0,0
2030,1000,0,800,0,0
2031,1000,0,800,0,0
2032,1000,0,800,0,0
2033,1000,0,800,0,0
2034,1000,0,800,0,0
2035,1000,0,800,0,0
2036,1000,0,800,0,0
2037,1000,0,800,0,0
2038,1000,0,800,0,0
2039,1000,0,800,0,0
2040,1000,0,800,0,0
2041,1000,0,800,0,0
2042,1000,0,800,0,0
2043,1000,0,800,0,0
2044,1000,0,800,0,0
2045,1000,0,800,0,0
2046,1000,0,800,0,0
2047,1000,0,800,0,0
2048,1000,0,800,0,0
2049,1000,0,800,0,0
2050,1000,0,800,0,0
2051,1000,0,800,0,0
2052,1000,0,800,0,0
2053,1000,0,800,0,0
2054,1000,0,800,0,0
2055,1000,0,800,0,0
2056,1000,0,800,0,0
2057,1000,0,800,0,0
2058,1000,0,800,0,0
2059,1000,0,800,0,0
